LOCAL 2024-02-12 09:38:54 INFO  Manager:20 - Manager started
LOCAL 2024-02-12 09:38:55 INFO  SQSHandler:19 - Queue managerToWorkerQueue created
LOCAL 2024-02-12 09:38:55 INFO  SQSHandler:19 - Queue workerToManagerQueue created
LOCAL 2024-02-12 09:38:56 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:39:01 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:39:06 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:39:11 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:39:16 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:39:22 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:39:27 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:39:32 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:39:37 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:39:42 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:39:47 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:39:52 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:39:58 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:40:03 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:40:08 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:40:13 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:40:18 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:40:23 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:40:29 INFO  Manager:48 - Polling tasks from 0 local app queues
LOCAL 2024-02-12 09:40:34 INFO  Manager:48 - Polling tasks from 0 local app queues
