LOCAL 2024-02-12 10:07:23 INFO  Worker:17 - Worker started
LOCAL 2024-02-12 10:07:24 INFO  Worker:24 - Polling tasks from managerToWorkerQueue
LOCAL 2024-02-12 10:07:24 INFO  Worker:63 - Received task: a00c3aff1cb9f71e::0::RSO743RDYVWTZ::My girls love this book so much I bought it for my niece!::entityRecognition for localAppId a00c3aff1cb9f71e for inputIndex 0
LOCAL 2024-02-12 10:07:24 INFO  Worker:79 - Named entity recognition result: 
LOCAL 2024-02-12 10:07:25 INFO  SQSHandler:76 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 10:07:25 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 10:07:25 INFO  Worker:63 - Received task: a00c3aff1cb9f71e::0::R33DK4T6EHUIHX::Does a nice job of showing your child where different body parts are in a cute manner.  However, my one year old likes to lift the flaps himself and I also think this is a great way for him to be part of the story too.  The problem with this book is the flaps covering the different body parts are very flimsy and very easily ruined.  Compared to some other books out there, this one doesn't live up to expectations.  Youngsters are still figuring out motor skills and are anything but delicate at this stage.  I appreciate books that are made to last more than a couple reads...::sentimentAnalysis for localAppId a00c3aff1cb9f71e for inputIndex 0
LOCAL 2024-02-12 10:07:27 INFO  Worker:72 - Sentiment analysis result: 1
LOCAL 2024-02-12 10:07:27 INFO  SQSHandler:76 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 10:07:27 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 10:07:27 INFO  Worker:63 - Received task: a00c3aff1cb9f71e::0::RJ62XWHGDIF7::As soon as I got this package, I gave it to my 18 month old son to open and he made me read it to him about a dozen times. He loves it! He's obsessed with his belly button, so this is the perfect book for him. He's also obsessed with peek-a-boo, so he loves lifting the flaps. It was a definite hit!::entityRecognition for localAppId a00c3aff1cb9f71e for inputIndex 0
LOCAL 2024-02-12 10:07:27 INFO  Worker:79 - Named entity recognition result: 
LOCAL 2024-02-12 10:07:27 INFO  SQSHandler:76 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 10:07:28 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 10:07:28 INFO  Worker:63 - Received task: a00c3aff1cb9f71e::0::R14D3WP6J91DCU::Super cute book. My son loves lifting the flaps.::sentimentAnalysis for localAppId a00c3aff1cb9f71e for inputIndex 0
LOCAL 2024-02-12 10:07:28 INFO  Worker:72 - Sentiment analysis result: 3
LOCAL 2024-02-12 10:07:28 INFO  SQSHandler:76 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 10:07:28 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
