LOCAL 2024-02-12 15:35:26 INFO  Manager:18 - Manager started
LOCAL 2024-02-12 15:35:27 INFO  SQSHandler:19 - Queue managerToWorkerQueue created
LOCAL 2024-02-12 15:35:27 INFO  SQSHandler:19 - Queue workerToManagerQueue created
LOCAL 2024-02-12 15:35:28 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:35:42 INFO  Manager:46 - Polled 1 requests
LOCAL 2024-02-12 15:35:42 INFO  Manager:60 - Received request: aa96c5c9c8a6a59c::analyze::input2.txt::0::350
LOCAL 2024-02-12 15:35:42 INFO  S3Handler:56 - Downloading file aa96c5c9c8a6a59c/input2.txt from S3 bucket sarcasm-analysis-bucket
LOCAL 2024-02-12 15:35:44 INFO  Manager:101 - Parsed 490 reviews from input file input2.txt
LOCAL 2024-02-12 15:35:44 INFO  ManagerEnv:22 - Assigning workers
LOCAL 2024-02-12 15:35:45 INFO  EC2Handler:118 - Active workers: 0
LOCAL 2024-02-12 15:35:45 INFO  EC2Handler:99 - Creating worker instance
LOCAL 2024-02-12 15:35:47 INFO  EC2Handler:33 - Successfully started EC2 instance i-06465a7379ca8f5c7 based on AMI ami-00e95a9222311e8ed
LOCAL 2024-02-12 15:35:47 INFO  ManagerTask:38 - ManagerTask started for local app aa96c5c9c8a6a59c for inputIndex 0
LOCAL 2024-02-12 15:35:47 INFO  ManagerTask:58 - Sending tasks to workers for local app aa96c5c9c8a6a59c for inputIndex 0
LOCAL 2024-02-12 15:35:48 INFO  S3Handler:71 - File aa96c5c9c8a6a59c/input2.txt deleted from S3 bucket sarcasm-analysis-bucket
LOCAL 2024-02-12 15:35:48 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 15:35:48 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 15:35:48 INFO  ManagerTask:75 - Sent tasks for reviewId R1LO6KREH0DO7C for local app aa96c5c9c8a6a59c for inputIndex 0
LOCAL 2024-02-12 15:35:48 INFO  ManagerTask:76 - Sent total tasks 2 to workers for local app aa96c5c9c8a6a59c for inputIndex 0
LOCAL 2024-02-12 15:35:48 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 15:35:48 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 15:35:48 INFO  ManagerTask:75 - Sent tasks for reviewId RVTO9178ITTWI for local app aa96c5c9c8a6a59c for inputIndex 0
LOCAL 2024-02-12 15:35:48 INFO  ManagerTask:76 - Sent total tasks 4 to workers for local app aa96c5c9c8a6a59c for inputIndex 0
LOCAL 2024-02-12 15:35:48 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/localToManagerQueue
LOCAL 2024-02-12 15:35:48 INFO  Manager:41 - Polling requests from localToManagerQueue
LOCAL 2024-02-12 15:35:48 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 15:35:48 INFO  SQSHandler:76 - Sent message to https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 15:35:48 INFO  ManagerTask:75 - Sent tasks for reviewId R183TPGJF3GM74 for local app aa96c5c9c8a6a59c for inputIndex 0
LOCAL 2024-02-12 15:35:48 INFO  ManagerTask:76 - Sent total tasks 6 to workers for local app aa96c5c9c8a6a59c for inputIndex 0
