LOCAL 2024-02-11 17:07:53 INFO  Worker:17 - Worker started
LOCAL 2024-02-11 17:07:54 INFO  Worker:25 - Polling tasks from managerToWorkerQueue
LOCAL 2024-02-11 17:07:54 INFO  SQSHandler:77 - Polling messages from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:07:54 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::RSO743RDYVWTZ::My girls love this book so much I bought it for my niece!::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:07:55 INFO  Worker:68 - Sentiment analysis result: 2
LOCAL 2024-02-11 17:07:55 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:07:55 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:07:55 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::R8OWCLDI0GGL0::Love Karen Katz::entityRecognition for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:07:55 INFO  Worker:75 - Named entity recognition result: Karen: PERSON, Katz: PERSON
LOCAL 2024-02-11 17:07:55 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:07:55 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:07:55 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::R3P2KOXRF7Z400::So cute and fun.::entityRecognition for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:07:55 INFO  Worker:75 - Named entity recognition result: 
LOCAL 2024-02-11 17:07:56 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:07:56 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:07:56 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::R1IKZK5S0DCKZ0::My daughter loves lifting the flaps herself! She's almost a year. Great colorful pictures. I'm never disappointed with Karen Katz!::entityRecognition for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:07:56 INFO  Worker:75 - Named entity recognition result: Karen: PERSON, Katz: PERSON
LOCAL 2024-02-11 17:07:56 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:07:56 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:07:56 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::RW6ORU2M3C461::I bought this book for a newborn. She loved when our parents read to her as an infant. She's now almost two and loves playing with it herself. I got it based on the positive reviews. I'm so glad I did. Will buy it again and highly recommend::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:07:56 INFO  Worker:68 - Sentiment analysis result: 3
LOCAL 2024-02-11 17:07:57 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:07:57 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:07:57 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::RB9QK3F6SUQPU::love::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:07:57 INFO  Worker:68 - Sentiment analysis result: 4
LOCAL 2024-02-11 17:07:57 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:07:57 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:07:57 INFO  Worker:59 - Received task: 8daed91bb49edad2::1::R2VXY3WQWH9Z0F::Just like everyone else here it seems, I first experienced Haribo's magic in Germany.  I was at a train station and I needed a quick snack, so I bought a little bag of the Gold-Bears.  Ever since I ventured to find them in the States, but couldn't.  A few years ago, however, I noticed them popping up in their little bags, and had to buy one.While they're still the best gummy bears Stateside, I was a bit disappointed since they were harder than I had them in Deutschland.  But that's understandable, as I'm assuming they're imported from Germany, and gummy bears really can't retain their freshness for long when traveling across the sea, and then sitting on a store shelf waiting for someone to buy them.  They're not hard-hard like some of the other gummy bear brands you'll find here; they're just harder than in Europe.The flavors are strong and fantastic, and I have to stop from eating so many gummies at once for fear of my jaw getting sore--but they're so good!The 5lb bag is a great deal, but just be sure no one else is around.  I already had a bunch of co-workers coming up to get some, assuming they'll last forever since it's a large bag.  After ordering this about 2 weeks ago, I'm already having to consider reordering a second bag!::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 1
LOCAL 2024-02-11 17:08:05 INFO  Worker:68 - Sentiment analysis result: 1
LOCAL 2024-02-11 17:08:05 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:06 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:06 INFO  Worker:59 - Received task: 8daed91bb49edad2::1::R1CKE9Q64Z7CZC::So freaking good::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 1
LOCAL 2024-02-11 17:08:06 INFO  Worker:68 - Sentiment analysis result: 3
LOCAL 2024-02-11 17:08:06 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:06 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:06 INFO  Worker:59 - Received task: 8daed91bb49edad2::1::R2IZ8JCDKDN7YL::Mmmm~::entityRecognition for localAppId 8daed91bb49edad2 for inputIndex 1
LOCAL 2024-02-11 17:08:06 INFO  Worker:75 - Named entity recognition result: 
LOCAL 2024-02-11 17:08:06 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:06 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:06 INFO  Worker:59 - Received task: 8daed91bb49edad2::1::RPURVNKU8YWTS::Ah!!!! My Gummi's .Love, love, love them. Do they come in a 10lb bag?::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 1
LOCAL 2024-02-11 17:08:06 INFO  Worker:68 - Sentiment analysis result: 2
LOCAL 2024-02-11 17:08:06 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:07 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:07 INFO  Worker:25 - Polling tasks from managerToWorkerQueue
LOCAL 2024-02-11 17:08:07 INFO  SQSHandler:77 - Polling messages from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:07 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::RJ62XWHGDIF7::As soon as I got this package, I gave it to my 18 month old son to open and he made me read it to him about a dozen times. He loves it! He's obsessed with his belly button, so this is the perfect book for him. He's also obsessed with peek-a-boo, so he loves lifting the flaps. It was a definite hit!::entityRecognition for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:08:07 INFO  Worker:75 - Named entity recognition result: 
LOCAL 2024-02-11 17:08:07 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
LOCAL 2024-02-11 17:08:07 INFO  SQSHandler:95 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-11 17:08:07 INFO  Worker:59 - Received task: 8daed91bb49edad2::0::R33DK4T6EHUIHX::Does a nice job of showing your child where different body parts are in a cute manner.  However, my one year old likes to lift the flaps himself and I also think this is a great way for him to be part of the story too.  The problem with this book is the flaps covering the different body parts are very flimsy and very easily ruined.  Compared to some other books out there, this one doesn't live up to expectations.  Youngsters are still figuring out motor skills and are anything but delicate at this stage.  I appreciate books that are made to last more than a couple reads...::sentimentAnalysis for localAppId 8daed91bb49edad2 for inputIndex 0
LOCAL 2024-02-11 17:08:08 INFO  Worker:68 - Sentiment analysis result: 1
LOCAL 2024-02-11 17:08:08 INFO  SQSHandler:73 - Sent message to workerToManagerQueue
